EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Total Training Cost,Seniority_Years,Normalized_Training_Cost,Gender_Male
3442,Kaylah,Moon,2019-07-09,2022-06-16 00:00:00,Area Sales Manager,Ashley Scott,Kaylah.Moon@Bilearner.Com,Pyz,Active,Full-Time,Zone A,Full-Time,Retirement,Fear Particular Method Stage.,It/Is,Field Operations,1952-11-24,Ma,Laborer,2810,Black,Single,Exceeds,2.0,31-10-2022,2,5,3,286.87,6.861054072553046,0.2076050359472403,True
3443,Kristen,Tate,2021-04-05,2023-05-12 00:00:00,Area Sales Manager,Lauren Jones,Kristen.Tate@Bilearner.Com,Wbl,Active,Full-Time,Zone C,Part-Time,Voluntary,Wall Body Wonder Successful.,It/Is,Project Management - Con,1994-04-08,Ky,Coordinator,2621,Asian,Widowed,Fully Meets,3.0,29-04-2023,2,2,4,402.13,5.119780971937029,0.33568166412943223,True
3444,Bobby,Rodgers,2021-11-28,2022-02-04 00:00:00,Area Sales Manager,Matthew Jackson,Bobby.Rodgers@Bilearner.Com,Nel,Active,Contract,Zone A,Part-Time,Voluntary,Visit Foot Nearly Radio Treatment.,Sales,Engineers,1983-11-15,Ky,Director,44553,Other,Widowed,Fully Meets,3.0,14-12-2022,1,2,4,388.84,4.470910335386721,0.32091384885491087,True
3445,Reid,Park,2021-01-16,Desconocido,Area Sales Manager,Michelle Mitchell,Reid.Park@Bilearner.Com,Pl,Active,Contract,Zone C,Full-Time,Unk,Nan,Sales,Project Management - Con,1985-12-07,Ky,Supervisor,5360,Other,Married,Exceeds,4.0,07-05-2023,4,5,2,879.64,5.336071184120465,0.8662896003022457,False
3446,Hector,Dalton,2021-08-24,Desconocido,Area Sales Manager,Sydney French,Hector.Dalton@Bilearner.Com,Bpc,Active,Part-Time,Zone A,Part-Time,Unk,Nan,Sales,Field Operations,1996-05-01,Tx,Driller,16325,White,Divorced,Exceeds,2.0,21-05-2023,4,3,5,701.13,4.733744010951403,0.6679297278677231,False
3447,Mariela,Schultz,2020-05-26,2023-06-18 00:00:00,Area Sales Manager,Michelle Evans Md,Mariela.Schultz@Bilearner.Com,Ccdr,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Unit Pass Office Southern Break One.,Sales,General - Con,1964-02-17,Tx,Technician,43481,Asian,Widowed,Fully Meets,3.0,08-05-2023,5,1,4,353.21,5.979466119096509,0.28132188059071256,False
3448,Angela,Molina,2019-10-01,2020-11-06 00:00:00,Area Sales Manager,Patricia Cook,Angela.Molina@Bilearner.Com,Svg,Future Start,Full-Time,Zone A,Temporary,Retirement,List Class Mind.,Sales,Engineers,1958-05-12,Tx,Specialist,50705,Asian,Widowed,Fully Meets,3.0,28-03-2023,5,1,5,911.05,6.631074606433949,0.90119231495783,True
3449,Gerald,Preston,2023-05-10,2023-05-27 00:00:00,Area Sales Manager,Ashley Reeves,Gerald.Preston@Bilearner.Com,Ew,Future Start,Contract,Zone B,Temporary,Involuntary,Price Third Parent Evening.,Sales,General - Eng,1992-09-18,Co,Technician,5168,Black,Single,Fully Meets,4.5,30-06-2023,3,2,1,242.21,3.025325119780972,0.15797895391863812,True
3450,Reilly,Moyer,2020-09-01,2022-12-04 00:00:00,Area Sales Manager,Stanley Harvey,Reilly.Moyer@Bilearner.Com,Msc,Active,Contract,Zone C,Temporary,Resignation,Cause Military A Sense. Doctor Property May.,Sales,Field Operations,1994-08-11,Co,Operator,11765,Other,Single,Exceeds,2.0,18-01-2023,4,3,5,186.07,5.711156741957564,0.09559632415854565,True
3451,Carlee,French,2021-02-18,2022-11-11 00:00:00,Area Sales Manager,Michael Bradshaw,Carlee.French@Bilearner.Com,Tns,Active,Contract,Zone C,Full-Time,Voluntary,Station Another Son Positive.,Sales,General - Con,1968-01-15,Co,Technician,71071,Other,Divorced,Exceeds,3.0,29-04-2023,5,1,2,921.97,5.245722108145106,0.9133265920682719,True
3452,Jaydon,Blackburn,2022-11-08,Desconocido,Area Sales Manager,Debbie Crosby,Jaydon.Blackburn@Bilearner.Com,Pyz,Active,Part-Time,Zone A,Part-Time,Unk,Nan,Sales,General - Con,1947-01-07,In,Foreman,12122,Black,Divorced,Fully Meets,2.0,19-01-2023,5,5,2,691.04,3.5263518138261465,0.6567177447134777,True
3453,Bridger,Carter,2022-10-13,Desconocido,Area Sales Manager,Elizabeth Taylor,Bridger.Carter@Bilearner.Com,Wbl,Active,Contract,Zone C,Part-Time,Unk,Nan,Sales,Fielders,1982-04-07,Ma,Engineer,87065,White,Widowed,Fully Meets,4.0,17-09-2022,5,5,3,964.44,3.597535934291581,0.9605191514895604,True
3454,Leon,Beard,2022-09-11,Desconocido,Area Sales Manager,Brian Dunlap,Leon.Beard@Bilearner.Com,Pyz,Active,Full-Time,Zone C,Full-Time,Unk,Nan,It/Is,General - Con,1970-01-29,Ky,Foreman,10415,Hispanic,Married,Needs Improvement,4.0,14-03-2023,4,4,2,184.9,3.685147159479808,0.09429622303956973,True
3455,Charity,Miranda,2021-06-29,2022-07-05 00:00:00,Area Sales Manager,Daniel Rodriguez,Charity.Miranda@Bilearner.Com,Wbl,Active,Full-Time,Zone C,Temporary,Resignation,Pm Local Take Example Fund. Small Heavy Listen.,Sales,Project Management - Eng,1999-01-18,Ky,Manager,3763,Other,Widowed,Exceeds,4.0,12-08-2022,2,1,1,220.41,4.887063655030801,0.1337548475992577,True
3456,Axel,Howe,2023-03-06,Desconocido,Area Sales Manager,Martin Hammond,Axel.Howe@Bilearner.Com,Nel,Active,Full-Time,Zone A,Temporary,Unk,Nan,Sales,Field Operations,1946-09-25,Ky,Technician,79623,Black,Divorced,Fully Meets,3.0,30-03-2023,4,3,4,336.82,3.2032854209445585,0.2631093529496738,False
3457,Milton,Wall,2020-09-25,Desconocido,Area Sales Manager,Sara Bell,Milton.Wall@Bilearner.Com,Pl,Active,Full-Time,Zone B,Temporary,Unk,Nan,Sales,Engineers,1947-08-23,Ky,Technician,69189,White,Divorced,Needs Improvement,3.0,21-04-2023,5,1,4,485.73,5.645448323066393,0.42857777827164334,False
3458,Cory,Robinson,2022-04-28,2023-05-24 00:00:00,Area Sales Manager,Elizabeth Anderson,Cory.Robinson@Bilearner.Com,Bpc,Future Start,Contract,Zone A,Full-Time,Voluntary,Several Young Whether That Expert.,Sales,Field Operations,1996-08-12,Tx,Laborer,5194,Hispanic,Single,Needs Improvement,3.0,14-02-2023,2,5,5,409.27,4.057494866529774,0.3436156145477981,False
3459,Saniya,Yu,2021-04-18,2022-06-21 00:00:00,Area Sales Manager,Erin Bailey,Saniya.Yu@Bilearner.Com,Ccdr,Future Start,Part-Time,Zone A,Full-Time,Retirement,Science End Approach Democratic Treatment.,Sales,General - Con,1944-02-09,Tx,Splicer,8779,Black,Widowed,Exceeds,2.0,26-10-2022,4,4,3,168.32,5.084188911704312,0.07587256786638959,True
3460,Alisa,James,2020-02-19,Desconocido,Area Sales Manager,Dennis Henderson,Alisa.James@Bilearner.Com,Svg,Active,Full-Time,Zone A,Full-Time,Unk,Nan,Sales,Aerial,1944-02-10,Tx,Lineman,74682,Asian,Married,Fully Meets,3.0,16-11-2022,4,3,3,919.52,6.245037645448323,0.9106041581011856,True
3461,Lincoln,Compton,2019-07-18,2021-10-01 00:00:00,Area Sales Manager,Tammy Conner,Lincoln.Compton@Bilearner.Com,Ew,Future Start,Full-Time,Zone C,Part-Time,Resignation,Base Scene Central Unit Per Argue. Might Last Of.,Sales,General - Con,1997-12-29,Co,Foreman,78046,Hispanic,Married,Needs Improvement,1.0,24-04-2023,1,4,4,948.43,6.836413415468857,0.9427288789128042,True
3462,Aliana,Nolan,2018-09-13,2021-09-17 00:00:00,Area Sales Manager,Brianna Mathews,Aliana.Nolan@Bilearner.Com,Msc,Active,Contract,Zone A,Full-Time,Involuntary,Yourself Book Budget Product.,Sales,Field Operations,1942-08-09,Co,Coordinator,27270,Hispanic,Divorced,Needs Improvement,3.0,08-11-2022,3,3,1,320.01,7.6796714579055445,0.24443012234284883,True
3463,Kayden,Dodson,2020-04-30,2021-07-18 00:00:00,Area Sales Manager,Jessica Peters,Kayden.Dodson@Bilearner.Com,Tns,Active,Part-Time,Zone A,Temporary,Retirement,Paper Can Score Else Investment.,Sales,Field Operations,1951-06-21,In,Tower Hand,12703,Hispanic,Single,Fully Meets,1.0,18-09-2022,4,3,4,926.19,6.050650239561944,0.918015845676886,True
3464,James,Duke,2018-12-03,2022-09-09 00:00:00,Area Sales Manager,Mark Harris,James.Duke@Bilearner.Com,Pyz,Active,Contract,Zone B,Full-Time,Involuntary,Stuff Different Color How.,Sales,Shop (Fleet),1998-06-17,Ma,Mechanic,66835,Black,Widowed,Needs Improvement,4.5,29-12-2022,2,5,3,290.47,7.457905544147844,0.21160534708255085,True
3465,Willow,Stuart,2021-11-08,Desconocido,Area Sales Manager,Elizabeth Tapia,Willow.Stuart@Bilearner.Com,Wbl,Active,Full-Time,Zone B,Full-Time,Unk,Nan,Sales,General - Con,1962-01-07,Ma,Flagger,66150,Asian,Divorced,Needs Improvement,3.0,19-05-2023,5,4,3,706.1,4.525667351129363,0.6734523796295268,True
3466,Clayton,Walker,2022-04-13,2023-04-10 00:00:00,Area Sales Manager,Jon Holden,Clayton.Walker@Bilearner.Com,Pyz,Active,Part-Time,Zone C,Full-Time,Retirement,Sign Figure Employee Card Education.,It/Is,Aerial,1979-01-26,Ky,Supervisor,64288,Other,Married,Exceeds,4.0,04-08-2023,1,3,4,447.66,4.098562628336755,0.38627448801573455,True
3467,Celia,Curtis,2020-05-06,Desconocido,Area Sales Manager,Michael Odonnell,Celia.Curtis@Bilearner.Com,Wbl,Active,Contract,Zone A,Part-Time,Unk,Nan,Sales,Fielders,1987-05-14,Ky,Engineer,94333,Asian,Divorced,Exceeds,1.0,27-06-2023,4,3,2,759.7,6.034223134839151,0.7330125676441501,False
3468,Valentin,Reilly,2019-09-09,Desconocido,Area Sales Manager,Andres Parker,Valentin.Reilly@Bilearner.Com,Nel,Active,Contract,Zone B,Temporary,Unk,Nan,Sales,Wireline Construction,1998-04-26,Ky,Foreman,45453,Black,Single,Fully Meets,4.0,05-02-2023,3,1,3,180.63,6.691307323750856,0.08955140955407641,False
3469,Ryland,Shepherd,2020-07-29,2023-01-05 00:00:00,Area Sales Manager,James Berry,Ryland.Shepherd@Bilearner.Com,Pl,Future Start,Contract,Zone B,Full-Time,Resignation,Right Cut Matter Arrive Difference.,Sales,Field Operations,1945-02-21,Tx,Driver,81905,Asian,Divorced,Needs Improvement,3.0,01-08-2023,5,5,1,552.54,5.804243668720055,0.502816885757781,False
3470,Esteban,Gilbert,2018-11-14,2019-10-28 00:00:00,Area Sales Manager,Gail Ali,Esteban.Gilbert@Bilearner.Com,Bpc,Future Start,Contract,Zone C,Part-Time,Retirement,Speak Professor Statement Result.,Sales,Field Operations,1997-05-31,Tx,Technician,12491,Black,Married,Needs Improvement,3.0,06-05-2023,1,2,3,986.96,7.509924709103354,0.9855433200360028,False
3471,Jonathan,Adkins,2020-02-29,Desconocido,Area Sales Manager,John Marshall,Jonathan.Adkins@Bilearner.Com,Ccdr,Active,Part-Time,Zone C,Temporary,Unk,Nan,Sales,Field Operations,1967-01-03,Tx,Foreman,64350,Asian,Married,Fully Meets,4.0,30-04-2023,2,4,1,109.98,6.217659137577002,0.011045303523607388,True
3472,Nevaeh,Soto,2023-01-15,Desconocido,Area Sales Manager,Jessica Chang,Nevaeh.Soto@Bilearner.Com,Svg,Active,Contract,Zone C,Full-Time,Unk,Nan,Sales,Project Management - Con,1982-01-12,Tx,Director,74124,Other,Married,Exceeds,4.0,26-07-2023,5,5,4,537.24,3.3401779603011637,0.4858155634327114,True
3473,Chaim,Mata,2023-06-29,Desconocido,Area Sales Manager,Desiree Vang,Chaim.Mata@Bilearner.Com,Ew,Active,Part-Time,Zone A,Temporary,Unk,Nan,Sales,Shop (Fleet),1950-10-01,Co,Manager,33379,Hispanic,Widowed,Exceeds,2.0,28-06-2023,3,4,4,789.99,2.8884325804243667,0.7666707410576378,True
3474,Arely,Patton,2020-03-09,Desconocido,Area Sales Manager,Andrew Goodman,Arely.Patton@Bilearner.Com,Msc,Active,Full-Time,Zone A,Temporary,Unk,Nan,Sales,Catv,1965-12-16,Co,Laborer,34481,Other,Divorced,Fully Meets,2.0,09-05-2023,3,1,2,155.51,6.193018480492813,0.061638127409909635,True
3475,Vance,Trujillo,2021-09-21,2023-04-13 00:00:00,Area Sales Manager,Rebecca Simpson,Vance.Trujillo@Bilearner.Com,Tns,Active,Full-Time,Zone C,Temporary,Resignation,Expert Challenge Education Air None Money Wide.,Sales,General - Con,1957-12-25,In,Foreman,90406,Asian,Widowed,Fully Meets,2.0,25-01-2023,4,3,4,648.76,4.657084188911704,0.6097363128243307,True
3476,Charlie,Koch,2023-06-12,2023-07-06 00:00:00,Area Sales Manager,Samantha Cardenas,Charlie.Koch@Bilearner.Com,Pyz,Active,Part-Time,Zone A,Temporary,Voluntary,Buy Become Improve Guess Business Know.,Sales,Fielders,1945-06-20,Ma,Engineer,95774,Asian,Divorced,Needs Improvement,2.0,03-03-2023,5,5,3,533.5,2.9349760438056127,0.48165968464213876,True
3477,Sonny,Horne,2019-04-07,Desconocido,Area Sales Manager,Nancy Johnson,Sonny.Horne@Bilearner.Com,Pyz,Active,Part-Time,Zone A,Full-Time,Unk,Nan,It/Is,Aerial,1969-12-03,Ky,Laborer,16058,Asian,Widowed,Needs Improvement,2.0,05-12-2022,1,2,1,429.48,7.115674195756331,0.3660729167824164,False
3478,Thomas,Chandler,2018-09-17,2019-01-09 00:00:00,Area Sales Manager,Richard Hodges,Thomas.Chandler@Bilearner.Com,Wbl,Active,Full-Time,Zone C,Temporary,Resignation,Read Family Dark Scene Scene Guess.,Sales,Wireline Construction,1957-10-10,Ky,Groundman,45149,Hispanic,Married,Fully Meets,2.0,29-11-2022,3,4,1,526.74,7.668720054757015,0.4741479892880557,False
3479,Sarai,Stone,2022-08-02,2023-04-02 00:00:00,Area Sales Manager,Madison Wilson,Sarai.Stone@Bilearner.Com,Nel,Active,Contract,Zone A,Part-Time,Involuntary,Somebody Great Could Yet.,Sales,Project Management - Con,1962-05-17,Tx,Technician,96336,Hispanic,Widowed,Fully Meets,2.0,03-11-2022,4,4,4,443.45,3.7946611909650922,0.38159634638249634,False
3480,Jerimiah,Harmon,2022-09-08,2022-10-16 00:00:00,Area Sales Manager,Eric King,Jerimiah.Harmon@Bilearner.Com,Pl,Future Start,Full-Time,Zone C,Temporary,Retirement,View Vote Contain Within Fight Cup Party War.,Sales,Catv,1946-08-09,Tx,Supervisor,75671,Black,Widowed,Fully Meets,1.0,25-07-2023,1,5,3,887.15,3.693360711841205,0.8746346938095185,False
3481,Leland,Allen,2019-03-07,2021-05-31 00:00:00,Area Sales Manager,Brandon Harris,Leland.Allen@Bilearner.Com,Bpc,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Buy House Certain Wrong Research Chair.,Sales,Wireline Construction,1965-12-11,Tx,Splicer,61149,Other,Widowed,Fully Meets,4.0,02-03-2023,5,2,4,758.95,7.200547570157426,0.7321791694909604,True
3482,Cristal,Bolton,2019-10-29,2021-02-07 00:00:00,Area Sales Manager,Matthew Flores,Cristal.Bolton@Bilearner.Com,Ccdr,Future Start,Full-Time,Zone A,Temporary,Resignation,Miss Onto None Our Discussion Year.,Sales,Catv,1990-02-11,Tx,Lineman,57302,Asian,Divorced,Needs Improvement,2.0,22-10-2022,4,5,5,627.11,6.55441478439425,0.5856788861355884,True
3483,Jaslene,Harding,2021-09-26,Desconocido,Area Sales Manager,Krystal Hamilton,Jaslene.Harding@Bilearner.Com,Svg,Active,Part-Time,Zone B,Temporary,Unk,Nan,Sales,Project Management - Con,1964-06-19,Co,Coordinator,42605,Asian,Widowed,Fully Meets,1.0,23-10-2022,1,4,5,111.96,4.643394934976044,0.013245474648028166,True
3484,Albert,Gonzalez,2018-08-29,Desconocido,Area Sales Manager,Amber Hernandez,Albert.Gonzalez@Bilearner.Com,Ew,Active,Part-Time,Zone B,Full-Time,Unk,Nan,Sales,General - Con,1995-07-18,Co,Model Assistant,64036,Other,Single,Fully Meets,4.0,16-09-2022,1,2,4,795.7,7.7207392197125255,0.7730156789972554,True
3485,Jaiden,Johnson,2021-10-26,Desconocido,Area Sales Manager,Patricia Smith,Jaiden.Johnson@Bilearner.Com,Msc,Active,Contract,Zone C,Full-Time,Unk,Nan,Sales,Field Operations,1994-08-22,Co,Laborer,23173,White,Widowed,Fully Meets,4.5,07-05-2023,2,1,3,796.45,4.561259411362081,0.773849077150445,True
3486,Brendon,Mcconnell,2022-10-31,2023-06-08 00:00:00,Area Sales Manager,Victoria Krause,Brendon.Mcconnell@Bilearner.Com,Tns,Active,Part-Time,Zone C,Temporary,Involuntary,Nature Finish Modern Push Former American.,Sales,Fielders,1990-11-14,In,Engineer,19665,Other,Widowed,Fully Meets,4.0,27-08-2022,3,1,1,812.59,3.5482546201232035,0.7917838054070873,True
3487,Kimora,Parsons,2023-03-15,Desconocido,Area Sales Manager,Jesse Hunt,Kimora.Parsons@Bilearner.Com,Bpc,Active,Contract,Zone B,Part-Time,Unk,Nan,Sales,General - Sga,1994-02-01,Ky,Administrator,41161,Other,Divorced,Fully Meets,4.0,23-09-2022,5,4,1,132.97,3.1786447638603694,0.036591734912715425,False
3488,Willie,Patterson,2022-09-09,Desconocido,Area Sales Manager,Shane Jones,Willie.Patterson@Bilearner.Com,Ccdr,Active,Contract,Zone B,Full-Time,Unk,Nan,Sales,Wireline Construction,1997-11-12,Ky,Lineman,52499,Asian,Single,Fully Meets,2.0,11-03-2023,1,5,1,308.19,3.6906228610540723,0.2312957674485793,False
3489,Devyn,Powers,2022-03-04,Desconocido,Area Sales Manager,Jessica Murphy,Devyn.Powers@Bilearner.Com,Ew,Active,Part-Time,Zone A,Temporary,Unk,Nan,Sales,Field Operations,1953-05-02,Tx,Laborer,25634,Black,Divorced,Fully Meets,2.0,03-12-2022,2,4,5,131.41,4.20807665982204,0.03485826675408086,False
3490,Weston,Preston,2019-02-11,Desconocido,Area Sales Manager,Crystal Wallace,Weston.Preston@Bilearner.Com,Msc,Active,Part-Time,Zone A,Part-Time,Unk,Nan,Sales,General - Sga,1991-07-10,Tx,Director,37965,Hispanic,Divorced,Fully Meets,2.0,12-10-2022,5,3,2,389.59,7.266255989048597,0.32174724700810053,False
3491,Lennon,Buchanan,2021-01-26,Desconocido,Area Sales Manager,Tina Nelson,Lennon.Buchanan@Bilearner.Com,Nel,Active,Contract,Zone B,Full-Time,Unk,Nan,Sales,Field Operations,1973-06-02,Tx,Driver,39504,White,Widowed,Fully Meets,4.5,10-09-2022,3,4,5,442.56,5.308692676249144,0.3806073805740446,True
3492,Vicente,Merritt,2019-11-26,Desconocido,Area Sales Manager,Ashley Smith,Vicente.Merritt@Bilearner.Com,Pl,Active,Full-Time,Zone C,Full-Time,Unk,Nan,Sales,General - Con,1993-01-08,Co,Clerk,31676,Asian,Married,Fully Meets,1.0,13-01-2023,1,5,5,327.66,6.477754962354552,0.2529307835053837,True
3493,Hugo,Clay,2019-07-15,Desconocido,Area Sales Manager,Eric Taylor,Hugo.Clay@Bilearner.Com,Pyz,Active,Full-Time,Zone C,Full-Time,Unk,Nan,Sales,Project Management - Con,1984-04-17,Co,Project Manager,28784,Asian,Widowed,Fully Meets,4.5,02-04-2023,3,1,5,400.95,6.844626967830253,0.33437045103508045,True
3494,Cohen,Raymond,2020-06-18,Desconocido,Area Sales Manager,Jacob Snyder,Cohen.Raymond@Bilearner.Com,Svg,Active,Contract,Zone B,Full-Time,Unk,Nan,Sales,General - Con,1994-02-08,Co,Technician,90983,Black,Single,Fully Meets,4.0,15-12-2022,1,2,1,910.45,5.916495550992471,0.9005255964352783,True
3495,Tia,Ellis,2023-06-22,2023-07-22 00:00:00,Area Sales Manager,Daniel Cabrera,Tia.Ellis@Bilearner.Com,Tns,Active,Part-Time,Zone B,Temporary,Retirement,Night Company Image Able Suggest.,Sales,Wireline Construction,1993-01-27,In,Laborer,1115,Other,Married,Fully Meets,4.0,08-09-2022,4,3,5,701.55,2.9075975359342916,0.6683964308335092,True
3496,Aspen,Bentley,2021-12-02,Desconocido,Area Sales Manager,Barbara Garcia,Aspen.Bentley@Bilearner.Com,Wbl,Active,Contract,Zone A,Part-Time,Unk,Nan,Sales,General - Sga,1964-09-19,Ca,Administrator,72233,Other,Widowed,Fully Meets,4.5,26-12-2022,1,3,2,806.87,4.459958932238193,0.7854277554920939,True
3497,Graham,Rodriguez,2021-12-08,Desconocido,Area Sales Manager,Kendra Murray,Graham.Rodriguez@Bilearner.Com,Tns,Active,Part-Time,Zone C,Temporary,Unk,Nan,Sales,Project Management - Con,1981-02-18,Or,Lineman,58210,Hispanic,Widowed,Fully Meets,1.0,18-09-2022,2,3,4,184.21,4.4435318275154,0.09352949673863523,False
3498,Joel,Mcmillan,2023-04-26,2023-06-22 00:00:00,Area Sales Manager,Peter Harvey,Joel.Mcmillan@Bilearner.Com,Pyz,Active,Full-Time,Zone A,Full-Time,Voluntary,About Allow Article. For Gas Player Magazine.,Sales,General - Sga,1998-10-17,Ky,Laborer,36087,White,Widowed,Fully Meets,2.0,19-06-2023,3,3,4,208.43,3.0636550308008212,0.12044270109897436,False
